unit_index,task,band,dyad,ch1_index,ch2_index,ch1,ch2,observed_effect,observed_studentized,p_label_unadjusted,p_label_maxT,label_candidate
1020,decision,delta,pair23,15,13,F7,O1,-0.011789767071604729,-0.5310285687446594,0.5992801439712058,1.0,False
1021,decision,delta,pair23,15,14,F7,O2,-0.014766240492463112,-0.6515921950340271,0.5172965406918616,1.0,False
1022,decision,delta,pair23,15,15,F7,F7,-0.016673102974891663,-0.6599367260932922,0.5148970205958808,1.0,False
1023,decision,delta,pair23,15,16,F7,F8,-0.045415353029966354,-1.8961814641952515,0.060187962407518496,1.0,False
1024,decision,delta,pair23,15,17,F7,T6,-0.00891635287553072,-0.3825944662094116,0.6966606678664267,1.0,False
1025,decision,delta,pair23,15,18,F7,T4,-0.01599257066845894,-0.6574437618255615,0.5166966606678665,1.0,False
1026,decision,delta,pair23,16,0,F8,P3,-0.010629010386765003,-0.39208826422691345,0.6940611877624475,1.0,False
1027,decision,delta,pair23,16,1,F8,C3,-0.008238369598984718,-0.3030764162540436,0.7610477904419116,1.0,False
1028,decision,delta,pair23,16,2,F8,F3,-0.004359683953225613,-0.19862551987171173,0.8456308738252349,1.0,False
1029,decision,delta,pair23,16,3,F8,Fz,0.037712737917900085,1.5853369235992432,0.11237752449510098,1.0,False
1030,decision,delta,pair23,16,4,F8,F4,0.014726446010172367,0.5566567778587341,0.591881623675265,1.0,False
1031,decision,delta,pair23,16,5,F8,C4,0.03125358372926712,1.332568645477295,0.1881623675264947,1.0,False
1032,decision,delta,pair23,16,6,F8,P4,-0.025651367381215096,-1.0458585023880005,0.29934013197360526,1.0,False
1033,decision,delta,pair23,16,7,F8,Cz,-0.03811202198266983,-1.3794887065887451,0.16736652669466107,1.0,False
1034,decision,delta,pair23,16,8,F8,Pz,0.02645375207066536,1.0109518766403198,0.3155368926214757,1.0,False
1035,decision,delta,pair23,16,9,F8,Fp1,0.028081826865673065,1.1457228660583496,0.2553489302139572,1.0,False
1036,decision,delta,pair23,16,10,F8,Fp2,-0.02766883745789528,-1.115744948387146,0.26554689062187564,1.0,False
1037,decision,delta,pair23,16,11,F8,T3,-0.001808056840673089,-0.05171571299433708,0.9618076384723055,1.0,False
1038,decision,delta,pair23,16,12,F8,T5,-0.0086814034730196,-0.3429102599620819,0.7386522695460908,1.0,False
1039,decision,delta,pair23,16,13,F8,O1,0.01599336788058281,0.6214780807495117,0.5312937412517497,1.0,False
1040,decision,delta,pair23,16,14,F8,O2,0.011016499251127243,0.5187476277351379,0.5952809438112378,1.0,False
1041,decision,delta,pair23,16,15,F8,F7,-0.019460253417491913,-0.7474023699760437,0.46090781843631273,1.0,False
1042,decision,delta,pair23,16,16,F8,F8,-0.02175314538180828,-0.9139423966407776,0.35752849430113975,1.0,False
1043,decision,delta,pair23,16,17,F8,T6,0.028130948543548584,1.2521716356277466,0.21395720855828834,1.0,False
1044,decision,delta,pair23,16,18,F8,T4,0.04398323968052864,1.8568432331085205,0.0625874825034993,1.0,False
1045,decision,delta,pair23,17,0,T6,P3,0.0037229242734611034,0.1364380121231079,0.8900219956008798,1.0,False
1046,decision,delta,pair23,17,1,T6,C3,0.03175687789916992,1.3491910696029663,0.1749650069986003,1.0,False
1047,decision,delta,pair23,17,2,T6,F3,-0.014960343018174171,-0.6588391661643982,0.5134973005398921,1.0,False
1048,decision,delta,pair23,17,3,T6,Fz,-0.034963950514793396,-1.3912570476531982,0.15876824635072986,1.0,False
1049,decision,delta,pair23,17,4,T6,F4,-0.018669618293642998,-0.7332237362861633,0.46550689862027594,1.0,False
1050,decision,delta,pair23,17,5,T6,C4,0.03143967688083649,1.3685691356658936,0.16876624675064986,1.0,False
1051,decision,delta,pair23,17,6,T6,P4,0.02771056443452835,1.1857185363769531,0.23455308938212358,1.0,False
1052,decision,delta,pair23,17,7,T6,Cz,-0.011684891767799854,-0.4833436906337738,0.6252749450109978,1.0,False
1053,decision,delta,pair23,17,8,T6,Pz,0.06442893296480179,2.483743190765381,0.013997200559888023,1.0,False
1054,decision,delta,pair23,17,9,T6,Fp1,-0.022521959617733955,-1.137911081314087,0.260747850429914,1.0,False
1055,decision,delta,pair23,17,10,T6,Fp2,0.011514823883771896,0.5070049166679382,0.6120775844831033,1.0,False
1056,decision,delta,pair23,17,11,T6,T3,0.01734614185988903,0.7876383066177368,0.4375124975004999,1.0,False
1057,decision,delta,pair23,17,12,T6,T5,0.03506651520729065,1.3975694179534912,0.16016796640671865,1.0,False
1058,decision,delta,pair23,17,13,T6,O1,-0.02686353772878647,-1.0877952575683594,0.28174365126974604,1.0,False
1059,decision,delta,pair23,17,14,T6,O2,-0.032309748232364655,-1.3330587148666382,0.1821635672865427,1.0,False
1060,decision,delta,pair23,17,15,T6,F7,0.03687940910458565,1.4674192667007446,0.14077184563087383,1.0,False
1061,decision,delta,pair23,17,16,T6,F8,-0.0028299998957663774,-0.11427623778581619,0.9118176364727054,1.0,False
1062,decision,delta,pair23,17,17,T6,T6,-0.006444491446018219,-0.2531742453575134,0.8024395120975805,1.0,False
1063,decision,delta,pair23,17,18,T6,T4,0.033573124557733536,1.4863088130950928,0.1341731653669266,1.0,False
1064,decision,delta,pair23,18,0,T4,P3,-0.03699922561645508,-1.5279114246368408,0.1305738852229554,1.0,False
1065,decision,delta,pair23,18,1,T4,C3,-0.03826352581381798,-1.529209852218628,0.124375124975005,1.0,False
1066,decision,delta,pair23,18,2,T4,F3,-0.04484090581536293,-1.8698861598968506,0.0639872025594881,1.0,False
1067,decision,delta,pair23,18,3,T4,Fz,-0.0036015675868839025,-0.1410401463508606,0.8892221555688862,1.0,False
1068,decision,delta,pair23,18,4,T4,F4,8.576704567531124e-05,0.006406208034604788,0.99500099980004,1.0,False
1069,decision,delta,pair23,18,5,T4,C4,-0.030397523194551468,-1.2578200101852417,0.20515896820635873,1.0,False
1070,decision,delta,pair23,18,6,T4,P4,-0.02105965092778206,-0.880874514579773,0.3727254549090182,1.0,False
1071,decision,delta,pair23,18,7,T4,Cz,-0.0004421637568157166,-0.02643544040620327,0.98000399920016,1.0,False
1072,decision,delta,pair23,18,8,T4,Pz,0.016073133796453476,0.6911258697509766,0.4927014597080584,1.0,False
1073,decision,delta,pair23,18,9,T4,Fp1,0.0076271104626357555,0.2965461015701294,0.7714457108578284,1.0,False
1074,decision,delta,pair23,18,10,T4,Fp2,-0.016196440905332565,-0.6617876291275024,0.5134973005398921,1.0,False
1075,decision,delta,pair23,18,11,T4,T3,-0.021626848727464676,-0.9229044318199158,0.35132973405318935,1.0,False
1076,decision,delta,pair23,18,12,T4,T5,-0.03957706689834595,-1.5848103761672974,0.10977804439112178,1.0,False
1077,decision,delta,pair23,18,13,T4,O1,-0.022193660959601402,-0.9537991285324097,0.34453109378124375,1.0,False
1078,decision,delta,pair23,18,14,T4,O2,0.03628895804286003,1.4460773468017578,0.15036992601479704,1.0,False
1079,decision,delta,pair23,18,15,T4,F7,-0.030152997002005577,-1.1970981359481812,0.2349530093981204,1.0,False
1080,decision,delta,pair23,18,16,T4,F8,-0.045202456414699554,-1.8018357753753662,0.07078584283143372,1.0,False
1081,decision,delta,pair23,18,17,T4,T6,0.04149636998772621,1.6742194890975952,0.09518096380723855,1.0,False
1082,decision,delta,pair23,18,18,T4,T4,0.007619662210345268,0.33681875467300415,0.7286542691461708,1.0,False
1083,decision,theta,pair12,0,0,P3,P3,0.0023244908079504967,0.1038808599114418,0.9192161567686463,1.0,False
1084,decision,theta,pair12,0,1,P3,C3,-0.018040653318166733,-0.8464546203613281,0.396120775844831,1.0,False
1085,decision,theta,pair12,0,2,P3,F3,-0.02561277337372303,-1.2772486209869385,0.1933613277344531,1.0,False
1086,decision,theta,pair12,0,3,P3,Fz,0.03867669403553009,1.8375352621078491,0.06718656268746251,1.0,False
1087,decision,theta,pair12,0,4,P3,F4,0.022153601050376892,0.9636179208755493,0.33913217356528697,1.0,False
1088,decision,theta,pair12,0,5,P3,C4,0.019998492673039436,0.8904263973236084,0.37772445510897823,1.0,False
1089,decision,theta,pair12,0,6,P3,P4,0.00023866021365392953,0.014944445341825485,0.9888022395520896,1.0,False
1090,decision,theta,pair12,0,7,P3,Cz,-0.02391470968723297,-1.1182045936584473,0.2693461307738452,1.0,False
1091,decision,theta,pair12,0,8,P3,Pz,0.024070238694548607,1.1623317003250122,0.25414917016596683,1.0,False
1092,decision,theta,pair12,0,9,P3,Fp1,-0.009103079326450825,-0.49177050590515137,0.6254749050189962,1.0,False
1093,decision,theta,pair12,0,10,P3,Fp2,0.002716978546231985,0.1329171508550644,0.8890221955608878,1.0,False
1094,decision,theta,pair12,0,11,P3,T3,-0.016098247841000557,-0.7491422891616821,0.45290941811637675,1.0,False
1095,decision,theta,pair12,0,12,P3,T5,0.006153000518679619,0.30480271577835083,0.7474505098980204,1.0,False
1096,decision,theta,pair12,0,13,P3,O1,0.011948761530220509,0.6009976863861084,0.5528894221155769,1.0,False
1097,decision,theta,pair12,0,14,P3,O2,0.028467750176787376,1.5287246704101562,0.1231753649270146,1.0,False
1098,decision,theta,pair12,0,15,P3,F7,0.0020383186638355255,0.12049010396003723,0.909618076384723,1.0,False
1099,decision,theta,pair12,0,16,P3,F8,0.014301343820989132,0.6894622445106506,0.4967006598680264,1.0,False
1100,decision,theta,pair12,0,17,P3,T6,-0.01675059273838997,-0.7725219130516052,0.44731053789242153,1.0,False
1101,decision,theta,pair12,0,18,P3,T4,0.007967816665768623,0.4067282974720001,0.6790641871625674,1.0,False
1102,decision,theta,pair12,1,0,C3,P3,0.026836516335606575,1.2362674474716187,0.21835632873425315,1.0,False
1103,decision,theta,pair12,1,1,C3,C3,0.030962616205215454,1.5152063369750977,0.1287742451509698,1.0,False
1104,decision,theta,pair12,1,2,C3,F3,-0.014968604780733585,-0.6735402345657349,0.4997000599880024,1.0,False
1105,decision,theta,pair12,1,3,C3,Fz,0.039934780448675156,1.9438050985336304,0.05118976204759048,1.0,False
1106,decision,theta,pair12,1,4,C3,F4,0.0342056080698967,1.7631330490112305,0.08058388322335533,1.0,False
1107,decision,theta,pair12,1,5,C3,C4,0.012064037844538689,0.6106676459312439,0.5498900219956009,1.0,False
1108,decision,theta,pair12,1,6,C3,P4,0.030024565756320953,1.3190956115722656,0.1871625674865027,1.0,False
1109,decision,theta,pair12,1,7,C3,Cz,0.04062904044985771,1.9798638820648193,0.04559088182363527,1.0,False
1110,decision,theta,pair12,1,8,C3,Pz,-0.0009953049011528492,-0.0559326633810997,0.9566086782643471,1.0,False
1111,decision,theta,pair12,1,9,C3,Fp1,0.020780783146619797,0.9717124700546265,0.3261347730453909,1.0,False
1112,decision,theta,pair12,1,10,C3,Fp2,0.022680269554257393,1.1580045223236084,0.2465506898620276,1.0,False
1113,decision,theta,pair12,1,11,C3,T3,0.022284917533397675,1.1283029317855835,0.26374725054989,1.0,False
1114,decision,theta,pair12,1,12,C3,T5,-0.0033644791692495346,-0.1400812715291977,0.8812237552489502,1.0,False
1115,decision,theta,pair12,1,13,C3,O1,-0.0022836762946099043,-0.09898974746465683,0.9232153569286142,1.0,False
1116,decision,theta,pair12,1,14,C3,O2,0.030506199225783348,1.3053109645843506,0.1871625674865027,1.0,False
1117,decision,theta,pair12,1,15,C3,F7,0.01971256546676159,1.0284146070480347,0.3097380523895221,1.0,False
1118,decision,theta,pair12,1,16,C3,F8,0.007438042666763067,0.3571518361568451,0.7164567086582684,1.0,False
1119,decision,theta,pair12,1,17,C3,T6,0.027842901647090912,1.3526874780654907,0.17376524695060988,1.0,False
1120,decision,theta,pair12,1,18,C3,T4,0.004964292980730534,0.26688727736473083,0.7896420715856829,1.0,False
1121,decision,theta,pair12,2,0,F3,P3,0.029615944251418114,1.4856590032577515,0.1347730453909218,1.0,False
